"site" "Area" "Y"
"1" 1 14.3788760062307 6
"2" 2 39.4152567721903 11
"3" 3 20.448846090585 5
"4" 4 44.1508702002466 24
"5" 5 47.0233642146923 12
"6" 6 2.27782496949658 3
"7" 7 26.4052744023502 11
"8" 8 44.6209522197023 18
"9" 9 27.5717507232912 8
"10" 10 22.8307367651723 8
"11" 11 47.8416672674939 22
"12" 12 22.6667078095488 13
"13" 13 33.8785317726433 10
"14" 14 28.6316700978205 8
"15" 15 5.14623413328081 0
"16" 16 44.9912485200912 12
"17" 17 12.304386717733 3
"18" 18 2.10297667654231 1
"19" 19 16.3960359641351 4
"20" 20 47.7251824573614 20
"21" 21 44.4769658031873 16
"22" 22 34.64017030783 8
"23" 23 32.0253406884149 10
"24" 24 49.7134888311848 16
"25" 25 32.7852899557911 10
"26" 26 35.4265234083869 12
"27" 27 27.2033012355678 7
"28" 28 29.707101022359 9
"29" 29 14.457986864727 6
"30" 30 7.35568236559629 2
"31" 31 48.1512116268277 17
"32" 32 45.1149522559717 17
"33" 33 34.5352639211342 14
"34" 34 39.7733708843589 14
"35" 35 1.23068422544748 2
"36" 36 23.8897985545918 7
"37" 37 37.9229768761434 16
"38" 38 10.8203967916779 6
"39" 39 15.9090503817424 4
"40" 40 11.5812892676331 5
"41" 41 7.14000111911446 2
"42" 42 20.727316790726 7
"43" 43 20.6862163147889 6
"44" 44 18.4422725462355 4
"45" 45 7.62223738711327 4
"46" 46 6.94030317245051 6
"47" 47 11.6517049726099 7
"48" 48 23.2981225126423 5
"49" 49 13.2986320182681 4
"50" 50 42.8913857671432 23
"51" 51 2.29155833367258 6
"52" 52 22.1100037102588 6
"53" 53 39.9462422821671 12
"54" 54 6.094962998759 2
"55" 55 28.0473991879262 9
"56" 56 10.3265694808215 3
"57" 57 6.37658251216635 7
"58" 58 37.6653932151385 13
"59" 59 44.752267957665 15
"60" 60 18.7231387943029 5
"61" 61 33.2557597314008 8
"62" 62 4.7420330462046 3
"63" 63 19.1984818899073 4
"64" 64 13.7191822286695 3
"65" 65 40.7320019439794 15
"66" 66 22.4258170695975 8
"67" 67 40.5032176524401 12
"68" 68 40.6194754759781 17
"69" 69 39.7171160555445 11
"70" 70 21.9915843801573 8
"71" 71 37.7237579319626 6
"72" 72 31.4610565779731 10
"73" 73 35.5091200675815 12
"74" 74 0.0312386662699282 3
"75" 75 23.7658287049271 6
"76" 76 11.0059442580678 4
"77" 77 18.9908268861473 2
"78" 78 30.6385501637124 7
"79" 79 17.5898954621516 5
"80" 80 5.55677121737972 2
"81" 81 12.1809736359864 6
"82" 82 33.402779372409 7
"83" 83 20.8823389839381 7
"84" 84 39.4097917014733 9
"85" 85 5.14323221286759 4
"86" 86 21.7446370748803 6
"87" 87 49.2478489992209 27
"88" 88 44.6525557199493 18
"89" 89 44.3234530393966 12
"90" 90 8.75263251364231 4
"91" 91 6.53478457825258 5
"92" 92 32.6550962519832 6
"93" 93 17.17582361307 8
"94" 94 32.8379063983448 14
"95" 95 16.0186621244065 6
"96" 96 9.3845559633337 7
"97" 97 39.1147150658071 13
"98" 98 4.679749335628 2
"99" 99 23.338952078484 6
"100" 100 25.5752729950473 3
"101" 101 29.9994479632005 9
"102" 102 16.6411770158447 8
"103" 103 24.4306516833603 2
"104" 104 47.7236913749948 12
"105" 105 24.14511985844 9
"106" 106 44.5175111060962 23
"107" 107 45.7219093455933 10
"108" 108 30.4367491160519 6
"109" 109 20.5344888265245 5
"110" 110 7.35473454697058 2
"111" 111 46.7649901635014 19
"112" 112 15.0614449987188 2
"113" 113 3.03602857748047 1
"114" 114 47.3863470018841 23
"115" 115 36.0298136714846 14
"116" 116 7.11471477989107 1
"117" 117 27.4642328033224 5
"118" 118 47.7045619278215 21
"119" 119 29.2741676559672 3
"120" 120 20.2255140873604 8
