region	site	depth	presence
R1	R1_1	1.3713269924745	0
R1	R1_2	1.99445495605469	1
R1	R1_3	0.155994885601103	1
R1	R1_4	1.24535215608776	0
R1	R1_5	1.85755297280848	1
R1	R1_6	1.76255573555827	0
R1	R1_7	1.24628709312528	0
R1	R1_8	2.16690274439752	1
R1	R1_9	1.151433057338	0
R1	R1_10	0.687513464875519	0
R1	R1_11	0.269629713147879	0
R1	R1_12	0.338718784414232	0
R1	R1_13	0.8590520972386	0
R1	R1_14	1.34472223166376	0
R1	R1_15	1.68881218340248	0
R1	R1_16	1.07639244925231	0
R1	R1_17	2.29090221822262	1
R1	R1_18	0.804648094624281	1
R1	R1_19	1.20175774302334	1
R1	R1_20	0.897747218050063	0
R1	R1_21	1.66208912096918	0
R1	R1_22	0.719240273721516	1
R1	R1_23	1.24850859586149	0
R1	R1_24	1.93914560955018	0
R1	R1_25	0.302192594483495	0
R1	R1_26	2.20077119208872	0
R1	R1_27	0.913775050826371	1
R1	R1_28	2.11465684045106	0
R1	R1_29	0.932040373980999	0
R1	R1_30	0.901059833914041	0
R1	R1_31	1.24324298817664	0
R1	R1_32	2.24127600602806	1
R1	R1_33	2.17441472951323	0
R2	R2_1	0.455707745626569	0
R2	R2_2	0.131386181153357	0
R2	R2_3	1.81735855862498	0
R2	R2_4	0.347642165794969	0
R2	R2_5	1.17108243666589	0
R2	R2_6	1.63624250832945	0
R2	R2_7	2.4804126881063	0
R2	R2_8	1.28942458685488	0
R2	R2_9	1.26243885848671	0
R2	R2_10	0.516261603683233	0
R2	R2_11	1.91157026682049	0
R2	R2_12	1.18934917412698	0
R2	R2_13	1.32680748105049	0
R2	R2_14	0.598108271881938	0
R2	R2_15	0.648779542557895	0
R2	R2_16	1.52970879115164	0
R2	R2_17	1.47969327587634	0
R2	R2_18	0.284954512678087	0
R2	R2_19	0.18529739100486	0
R2	R2_20	1.64270918127149	1
R2	R2_21	2.32867647912353	0
R2	R2_22	1.53542181365192	0
R2	R2_23	1.44616179522127	1
R2	R2_24	1.36246653739363	0
