"id" "body_mass" "age_class" "prey_density" "habitat"
"1" 1 493 "juvenile" 7.2 "Seagrass"
"2" 2 554 "juvenile" 8.1 "Sand"
"3" 3 1035 "adult" 13.9 "Seagrass"
"4" 4 615 "juvenile" 27.2 "Seagrass"
"5" 5 628 "adult" 20.6 "Seagrass"
"6" 6 1094 "juvenile" 8.8 "Mudflat"
"7" 7 705 "adult" 18.1 "Mudflat"
"8" 8 385 "adult" 11.7 "Mudflat"
"9" 9 472 "juvenile" 14 "Rocky"
"10" 10 513 "adult" 13.7 "Rocky"
"11" 11 921 "adult" 43.5 "Mudflat"
"12" 12 681 "juvenile" 6.6 "Mudflat"
"13" 13 690 "adult" 12.6 "Mudflat"
"14" 14 624 "adult" 4.9 "Seagrass"
"15" 15 494 "adult" 16.1 "Seagrass"
"16" 16 1121 "juvenile" 20.8 "Seagrass"
"17" 17 714 "adult" 24.7 "Rocky"
"18" 18 301 "juvenile" 4.6 "Seagrass"
"19" 19 767 "adult" 14.8 "Rocky"
"20" 20 508 "juvenile" 26.6 "Seagrass"
"21" 21 413 "adult" 9.8 "Mudflat"
"22" 22 556 "adult" 10.8 "Rocky"
"23" 23 419 "adult" 11.8 "Seagrass"
"24" 24 465 "juvenile" 14.4 "Seagrass"
"25" 25 482 "juvenile" 16.7 "Rocky"
"26" 26 332 "adult" 23.2 "Mudflat"
"27" 27 804 "adult" 11.4 "Rocky"
"28" 28 633 "adult" 13.2 "Sand"
"29" 29 403 "juvenile" 41.6 "Seagrass"
"30" 30 931 "adult" 14.9 "Sand"
"31" 31 697 "adult" 13.2 "Mudflat"
"32" 32 541 "adult" 6.1 "Mudflat"
"33" 33 821 "adult" 12 "Seagrass"
"34" 34 816 "adult" 10.7 "Seagrass"
"35" 35 800 "adult" 11.9 "Mudflat"
"36" 36 764 "adult" 9 "Seagrass"
"37" 37 728 "adult" 8.5 "Seagrass"
"38" 38 587 "juvenile" 8.4 "Seagrass"
"39" 39 539 "juvenile" 10.8 "Seagrass"
"40" 40 525 "adult" 23.8 "Rocky"
"41" 41 470 "adult" 20.3 "Seagrass"
"42" 42 558 "adult" 10 "Seagrass"
"43" 43 385 "adult" 5.2 "Mudflat"
"44" 44 1282 "adult" 7.9 "Seagrass"
"45" 45 916 "juvenile" 9.5 "Seagrass"
"46" 46 405 "adult" 12.6 "Rocky"
"47" 47 521 "adult" 8.6 "Seagrass"
"48" 48 510 "adult" 32.7 "Seagrass"
"49" 49 788 "adult" 10.5 "Seagrass"
"50" 50 583 "juvenile" 6.5 "Rocky"
"51" 51 656 "juvenile" 11.2 "Mudflat"
"52" 52 594 "adult" 7.3 "Seagrass"
"53" 53 591 "adult" 13 "Sand"
"54" 54 969 "adult" 13.5 "Seagrass"
"55" 55 554 "adult" 14.3 "Seagrass"
"56" 56 1020 "juvenile" 5.3 "Rocky"
"57" 57 349 "adult" 13.4 "Mudflat"
"58" 58 736 "adult" 14 "Mudflat"
"59" 59 627 "juvenile" 5.9 "Rocky"
"60" 60 647 "adult" 19.3 "Sand"
"61" 61 685 "adult" 17.8 "Sand"
"62" 62 503 "adult" 37.9 "Seagrass"
"63" 63 534 "adult" 13 "Mudflat"
"64" 64 420 "adult" 12.3 "Seagrass"
"65" 65 412 "juvenile" 12.6 "Mudflat"
"66" 66 667 "adult" 12.4 "Rocky"
"67" 67 702 "adult" 4.8 "Seagrass"
"68" 68 611 "juvenile" 5.2 "Rocky"
"69" 69 829 "adult" 11.5 "Mudflat"
"70" 70 1230 "juvenile" 9 "Seagrass"
