"site" "year" "habitat" "species" "effort" "temp" "count"
"1" "S1" 2019 "Forest" "Sparrow" 1.48142533753999 15.4131201940127 45
"2" "S2" 2019 "Forest" "Sparrow" 1.11984978830442 11.0315581016923 14
"3" "S3" 2019 "Forest" "Sparrow" 1.89268631851301 15.3261083334566 65
"4" "S4" 2019 "Forest" "Sparrow" 0.83923099343665 12.2367611575424 12
"5" "S5" 2019 "Forest" "Sparrow" 1.5088821797166 15.7981160657034 54
"6" "S6" 2019 "Forest" "Sparrow" 1.35759596740827 12.2814722942404 25
"7" "S7" 2019 "Forest" "Sparrow" 1.66710779340938 11.6391753672963 34
"8" "S8" 2019 "Forest" "Sparrow" 1.05016908585094 13.2735554304165 18
"9" "S9" 2019 "Forest" "Sparrow" 2.15497560533695 12.8773167798846 56
"10" "S10" 2019 "Forest" "Sparrow" 1.49911788702011 15.1090673546252 59
"11" "S11" 2019 "Forest" "Sparrow" 1.06587487352081 16.1463680528728 34
"12" "S12" 2019 "Forest" "Sparrow" 0.984337596828118 14.5044132267671 15
"13" "S1" 2020 "Forest" "Sparrow" 0.827881391905248 16.2849536980218 27
"14" "S2" 2020 "Forest" "Sparrow" 1.10806261710823 12.7691939427735 27
"15" "S3" 2020 "Forest" "Sparrow" 1.06863283487037 16.5220057184737 49
"16" "S4" 2020 "Forest" "Sparrow" 0.897868136363104 14.545237332834 26
"17" "S5" 2020 "Forest" "Sparrow" 1.41094935308211 11.7375508409505 26
"18" "S6" 2020 "Forest" "Sparrow" 1.78266307152808 14.1817995827948 42
"19" "S7" 2020 "Forest" "Sparrow" 1.4136086252518 15.4486019135677 40
"20" "S8" 2020 "Forest" "Sparrow" 1.78809346188791 13.710748773553 37
"21" "S9" 2020 "Forest" "Sparrow" 0.861927995923907 11.0514665280995 22
"22" "S10" 2020 "Forest" "Sparrow" 1.9352863386739 13.3195038140786 33
"23" "S11" 2020 "Forest" "Sparrow" 1.46436990764923 15.4074503536061 39
"24" "S12" 2020 "Forest" "Sparrow" 1.72277377764694 14.5233968502552 57
"25" "S1" 2021 "Forest" "Sparrow" 1.55596660939045 16.1831820312047 58
"26" "S2" 2021 "Forest" "Sparrow" 1.99692166196182 15.4900023895361 62
"27" "S3" 2021 "Forest" "Sparrow" 0.832620654208586 15.0045034254138 28
"28" "S4" 2021 "Forest" "Sparrow" 1.10965966940857 16.3952848082044 31
"29" "S5" 2021 "Forest" "Sparrow" 0.971417611651123 14.5203153484931 23
"30" "S6" 2021 "Forest" "Sparrow" 1.67429883652367 16.0217817239754 62
"31" "S7" 2021 "Forest" "Sparrow" 1.99243434616365 12.7704461047307 40
"32" "S8" 2021 "Forest" "Sparrow" 1.47005281201564 14.4398341325017 46
"33" "S9" 2021 "Forest" "Sparrow" 0.933550292160362 12.4881321094082 22
"34" "S10" 2021 "Forest" "Sparrow" 1.83279171665199 14.5139714040132 48
"35" "S11" 2021 "Forest" "Sparrow" 0.851723428722471 16.482868016306 35
"36" "S12" 2021 "Forest" "Sparrow" 0.881845127139241 17.9146977735752 41
"37" "S1" 2019 "Grassland" "Sparrow" 1.83207110101357 15.2710414836807 86
"38" "S2" 2019 "Grassland" "Sparrow" 1.90646442091092 10.6378002503731 40
"39" "S3" 2019 "Grassland" "Sparrow" 1.68524464271031 13.4750772897981 56
"40" "S4" 2019 "Grassland" "Sparrow" 1.75246706758626 13.8883164629413 69
"41" "S5" 2019 "Grassland" "Sparrow" 1.26027935734019 12.5306695735901 52
"42" "S6" 2019 "Grassland" "Sparrow" 1.59532194398344 14.2386905369628 59
"43" "S7" 2019 "Grassland" "Sparrow" 1.62469622283243 15.0043960104854 72
"44" "S8" 2019 "Grassland" "Sparrow" 1.56911875251681 14.2296652165498 65
"45" "S9" 2019 "Grassland" "Sparrow" 1.19004567936063 12.180531258913 32
"46" "S10" 2019 "Grassland" "Sparrow" 1.04106266647577 15.3588019369842 49
"47" "S11" 2019 "Grassland" "Sparrow" 1.80682618962601 12.7804558008728 75
"48" "S12" 2019 "Grassland" "Sparrow" 1.54804530930705 16.0553186110646 64
"49" "S1" 2020 "Grassland" "Sparrow" 1.25766899459995 13.348241499324 43
"50" "S2" 2020 "Grassland" "Sparrow" 1.77558014183305 13.484738290104 76
"51" "S3" 2020 "Grassland" "Sparrow" 1.22794062225148 12.0694214786702 36
"52" "S4" 2020 "Grassland" "Sparrow" 0.929727229429409 17.848825910501 60
"53" "S5" 2020 "Grassland" "Sparrow" 1.54338346840814 14.8562748620104 73
"54" "S6" 2020 "Grassland" "Sparrow" 2.17812784826383 13.4740970320425 57
"55" "S7" 2020 "Grassland" "Sparrow" 0.880116095719859 13.7181749906735 24
"56" "S8" 2020 "Grassland" "Sparrow" 1.74503550622612 15.6854155059479 100
"57" "S9" 2020 "Grassland" "Sparrow" 1.57053632247262 15.5617060008639 68
"58" "S10" 2020 "Grassland" "Sparrow" 1.21700492124073 18.8677664178413 68
"59" "S11" 2020 "Grassland" "Sparrow" 1.78381757182069 13.8051953388476 61
"60" "S12" 2020 "Grassland" "Sparrow" 1.8365129400976 15.0331170089469 77
"61" "S1" 2021 "Grassland" "Sparrow" 1.33843615883961 17.3553598240787 84
"62" "S2" 2021 "Grassland" "Sparrow" 2.19876486724243 15.4277917500174 101
"63" "S3" 2021 "Grassland" "Sparrow" 0.958549728710204 18.4676872268809 53
"64" "S4" 2021 "Grassland" "Sparrow" 1.12641397966072 16.0644023708348 57
"65" "S5" 2021 "Grassland" "Sparrow" 1.79162104511634 15.9976234724037 71
"66" "S6" 2021 "Grassland" "Sparrow" 0.875946714030579 14.1429492624575 45
"67" "S7" 2021 "Grassland" "Sparrow" 1.54123626830988 15.5349742281884 84
"68" "S8" 2021 "Grassland" "Sparrow" 1.63349940706976 14.1657610587705 62
"69" "S9" 2021 "Grassland" "Sparrow" 0.952258096123114 15.6358528052932 47
"70" "S10" 2021 "Grassland" "Sparrow" 1.93794233230874 15.2466541683758 80
"71" "S11" 2021 "Grassland" "Sparrow" 0.988494555745274 16.7008574602057 54
"72" "S12" 2021 "Grassland" "Sparrow" 2.00128236203454 17.1873646897121 111
"73" "S1" 2019 "Forest" "Warbler" 2.14424165058881 16.2442642100599 66
"74" "S2" 2019 "Forest" "Warbler" 1.98295894330367 11.1557630581446 32
"75" "S3" 2019 "Forest" "Warbler" 1.73829584578052 12.0419068848362 29
"76" "S4" 2019 "Forest" "Warbler" 1.49067049780861 14.3686640412599 41
"77" "S5" 2019 "Forest" "Warbler" 0.913691102480516 18.4805364396175 27
"78" "S6" 2019 "Forest" "Warbler" 1.33900431119837 10.4775468117499 19
"79" "S7" 2019 "Forest" "Warbler" 0.967360774520785 16.1812494567993 20
"80" "S8" 2019 "Forest" "Warbler" 1.65156216924079 15.0433638323403 34
"81" "S9" 2019 "Forest" "Warbler" 1.73161910106428 15.7444815480238 36
"82" "S10" 2019 "Forest" "Warbler" 0.925489196367562 13.6709818653918 15
"83" "S11" 2019 "Forest" "Warbler" 1.58370128800161 15.9041191752553 35
"84" "S12" 2019 "Forest" "Warbler" 1.42506623133086 14.840433781954 35
"85" "S1" 2020 "Forest" "Warbler" 1.81899304012768 14.7170440068461 29
"86" "S2" 2020 "Forest" "Warbler" 2.09023633552715 14.7439739193762 42
"87" "S3" 2020 "Forest" "Warbler" 2.16294489726424 14.6128791137255 51
"88" "S4" 2020 "Forest" "Warbler" 1.13796313600615 10.1304168056414 14
"89" "S5" 2020 "Forest" "Warbler" 1.61519961119629 16.1498184603162 49
"90" "S6" 2020 "Forest" "Warbler" 1.03116752118804 15.0306386276547 22
"91" "S7" 2020 "Forest" "Warbler" 1.38001648914069 14.102624343637 38
"92" "S8" 2020 "Forest" "Warbler" 1.09201259338297 12.5600110496558 18
"93" "S9" 2020 "Forest" "Warbler" 2.11227477332577 13.7879194045671 38
"94" "S10" 2020 "Forest" "Warbler" 1.02585577708669 17.8081865340067 33
"95" "S11" 2020 "Forest" "Warbler" 2.02010344886221 16.5134884306537 52
"96" "S12" 2020 "Forest" "Warbler" 1.57523896316998 14.7514261259552 30
"97" "S1" 2021 "Forest" "Warbler" 1.64834946519695 14.8001735079007 34
"98" "S2" 2021 "Forest" "Warbler" 1.76103604976088 15.3510557553584 30
"99" "S3" 2021 "Forest" "Warbler" 1.3139062255621 17.0420694972862 47
"100" "S4" 2021 "Forest" "Warbler" 2.05835350127891 17.8074327581522 71
"101" "S5" 2021 "Forest" "Warbler" 0.985930618923157 17.541724638825 32
"102" "S6" 2021 "Forest" "Warbler" 1.21287743654102 17.922230364453 35
"103" "S7" 2021 "Forest" "Warbler" 2.04283286053687 16.6994434842234 74
"104" "S8" 2021 "Forest" "Warbler" 1.75410956693813 14.4143907299272 42
"105" "S9" 2021 "Forest" "Warbler" 1.19269512277097 13.5118879603685 18
"106" "S10" 2021 "Forest" "Warbler" 1.49476957255974 16.147965256839 34
"107" "S11" 2021 "Forest" "Warbler" 1.63885958273895 17.7000879091908 71
"108" "S12" 2021 "Forest" "Warbler" 1.74392275721766 15.3955971787292 41
"109" "S1" 2019 "Grassland" "Warbler" 1.13660955582745 13.6790396133089 31
"110" "S2" 2019 "Grassland" "Warbler" 1.39011741871946 12.4241923197115 29
"111" "S3" 2019 "Grassland" "Warbler" 1.93123561106622 14.3510790925117 56
"112" "S4" 2019 "Grassland" "Warbler" 1.04391007693484 10.879646466754 20
"113" "S5" 2019 "Grassland" "Warbler" 1.04099902613089 15.2475316712738 36
"114" "S6" 2019 "Grassland" "Warbler" 1.33941739811562 13.1053533336965 27
"115" "S7" 2019 "Grassland" "Warbler" 1.7770500516519 15.4398198534984 75
"116" "S8" 2019 "Grassland" "Warbler" 1.479425613489 15.2978348030269 67
"117" "S9" 2019 "Grassland" "Warbler" 2.09244855120778 15.2913777170907 85
"118" "S10" 2019 "Grassland" "Warbler" 1.9024379237555 13.8247591979486 53
"119" "S11" 2019 "Grassland" "Warbler" 1.30115633010864 15.6002960015366 34
"120" "S12" 2019 "Grassland" "Warbler" 1.52506947391666 14.4671351045263 34
"121" "S1" 2020 "Grassland" "Warbler" 0.999889674410224 19.2887702413614 54
"122" "S2" 2020 "Grassland" "Warbler" 1.88326777433977 15.2201039389582 73
"123" "S3" 2020 "Grassland" "Warbler" 1.29839164251462 14.0949651536487 33
"124" "S4" 2020 "Grassland" "Warbler" 2.01312046884559 16.7848487474079 84
"125" "S5" 2020 "Grassland" "Warbler" 2.05688753724098 16.9752594705068 107
"126" "S6" 2020 "Grassland" "Warbler" 1.27060399916954 17.2098973982819 73
"127" "S7" 2020 "Grassland" "Warbler" 1.40828172843903 15.3863811939311 41
"128" "S8" 2020 "Grassland" "Warbler" 1.30845585661009 14.7724201467887 37
"129" "S9" 2020 "Grassland" "Warbler" 1.51883175559342 16.1265564992668 54
"130" "S10" 2020 "Grassland" "Warbler" 2.11540404618718 15.2173823186821 80
"131" "S11" 2020 "Grassland" "Warbler" 1.18481177194044 14.2060496183813 37
"132" "S12" 2020 "Grassland" "Warbler" 2.19771461705677 11.1009157677664 43
"133" "S1" 2021 "Grassland" "Warbler" 1.96235355185345 15.5744688051424 58
"134" "S2" 2021 "Grassland" "Warbler" 0.899172844272107 17.8262021669069 38
"135" "S3" 2021 "Grassland" "Warbler" 1.97724237870425 16.2911210268967 73
"136" "S4" 2021 "Grassland" "Warbler" 1.51390782031231 14.4718870710684 42
"137" "S5" 2021 "Grassland" "Warbler" 1.91116906595416 17.0153891945902 87
"138" "S6" 2021 "Grassland" "Warbler" 1.380544219492 16.6084909284709 44
"139" "S7" 2021 "Grassland" "Warbler" 0.866912606265396 15.8998015595568 25
"140" "S8" 2021 "Grassland" "Warbler" 1.34341476429254 13.0141046565598 32
"141" "S9" 2021 "Grassland" "Warbler" 1.9911057617981 15.3280783490981 78
"142" "S10" 2021 "Grassland" "Warbler" 1.80667612641118 14.8899481432905 68
"143" "S11" 2021 "Grassland" "Warbler" 0.894823400350288 16.379927563703 45
"144" "S12" 2021 "Grassland" "Warbler" 1.8794715047814 14.1160354619178 65
