"Y.1" "Y.2" "Y.3" "Y.4" "habitat" "elev_s" "effort.1" "effort.2" "effort.3" "effort.4" "J" "n_sites"
"1" 0 0 0 0 "grassland" 0.508016240817567 16.8959265312766 37.6368816777855 32.3521594538871 50.9933453966214 4 120
"2" 2 2 1 1 "grassland" 0.185748402351851 30.4009680399092 18.5920401697561 39.5555183639449 50.4029597838493 4 120
"3" 4 4 4 4 "grassland" -0.739097111837597 27.637750144678 44.0373311812642 41.6766030962366 25.6743026935717 4 120
"4" 0 1 1 1 "grassland" -0.800154839838306 18.2885591796163 36.748529899006 20.3015040243998 41.4390098278504 4 120
"5" 4 4 4 4 "forest" -0.38358443254795 23.3349963465841 25.8304101217421 17.8706001912976 40.7863298840761 4 120
"6" 7 8 7 8 "forest" -0.776821569786432 26.7142303079561 52.9514954912834 42.3640215178233 28.7638463562622 4 120
"7" 4 4 3 4 "forest" -0.144446085572686 32.5750234686153 59.0832355547835 28.5013650416026 38.7991684748607 4 120
"8" 1 1 1 1 "grassland" 0.0192684500967468 37.9618229040958 36.8888389518595 26.2963935562062 10.9056891897438 4 120
"9" 1 1 1 1 "wetland" -0.969354230031816 19.9148119859411 29.4282652825342 51.8703591634327 33.068407779138 4 120
"10" 4 3 4 2 "wetland" 0.286387744684463 40.7406751184344 17.9771062348671 16.6390893261907 15.8426773414352 4 120
"11" 0 0 0 0 "grassland" 0.760643582604255 16.1101610825418 24.6635091299163 36.7060848749103 30.923933769558 4 120
"12" 1 1 1 1 "grassland" 1.097359032835 29.485634421631 50.2130807008819 14.6739359904582 56.6680871783158 4 120
"13" 5 6 5 6 "forest" -0.543819249387581 42.7170100645686 43.5277193069885 12.0892609770469 37.0469444556481 4 120
"14" 2 2 2 2 "forest" 0.695051268082556 16.7407017858772 40.1111223108685 56.8430893318521 22.6738364906299 4 120
"15" 2 2 2 2 "forest" 0.837969335102099 25.4345661769339 27.7704616529602 22.7470418086254 25.1252596546372 4 120
"16" 2 3 2 3 "wetland" -0.462927394463154 30.4289747577077 23.9676649627141 18.6637104522349 18.3187645752464 4 120
"17" 0 1 1 1 "wetland" 0.808318817858458 31.4038928457782 40.903548785958 25.0902398450223 11.6573131343968 4 120
"18" 2 1 2 2 "grassland" -1.00191892452481 17.2780183451032 26.9550822808574 51.3630421243562 42.2892122724524 4 120
"19" 1 1 1 1 "grassland" -1.45950127207937 12.7797142775641 19.2380205355037 39.6958556741429 54.8312966886361 4 120
"20" 3 2 3 3 "wetland" -1.08090403416434 22.2348395494069 23.5950518034641 32.5365986030281 30.3320427789528 4 120
"21" 3 4 4 3 "grassland" 0.648387335506926 29.4905759710302 26.4040311276955 19.2458341177704 20.1757370704583 4 120
"22" 1 1 1 1 "wetland" 0.106415299317692 52.816656930486 47.8661842996941 69.3467603086135 28.0580932392668 4 120
"23" 3 3 0 3 "grassland" -0.0699831380040364 45.8182739239834 59.1539150181972 18.9521673933659 28.4723945552865 4 120
"24" 0 0 0 0 "grassland" -0.0711112820851819 28.9834837745121 43.5424333949046 46.0662595167265 22.7141593984092 4 120
"25" 2 2 2 2 "forest" 0.0294047410674938 42.4788346469036 18.924702556614 26.1756059924593 26.0796794276893 4 120
"26" 1 3 4 4 "wetland" -0.542567744528701 16.211560450043 31.4961843631908 28.4670997317987 27.8154185309371 4 120
