"site_id" "n" "germ" "prop" "canopy" "soil_moisture" "management"
"1" "1" 50 34 0.68 33.0062016099691 52.3726582550444 "Unmown"
"2" "1" 50 10 0.2 73.0644108355045 34.8763633542694 "Unmown"
"3" "1" 50 29 0.58 42.718153744936 29.3954514921643 "Mown"
"4" "1" 50 8 0.16 80.6413923203945 22.3224497074261 "Unmown"
"5" "1" 50 10 0.2 85.2373827435076 15.5548230651766 "Mown"
"6" "2" 50 31 0.62 13.6445199511945 29.4997217622586 "Mown"
"7" "2" 50 15 0.3 52.2484390437603 38.5967656993307 "Unmown"
"8" "2" 50 8 0.16 81.3935235515237 20.8446381404065 "Mown"
"9" "2" 50 11 0.22 54.1148011572659 32.238400101196 "Mown"
"10" "2" 50 16 0.32 46.5291788242757 20.899533436168 "Mown"
"11" "3" 50 5 0.1 86.5466676279902 35.1149781630374 "Unmown"
"12" "3" 50 15 0.3 46.2667324952781 27.6952285924926 "Mown"
"13" "3" 50 12 0.24 64.2056508362293 42.499257940799 "Unmown"
"14" "3" 50 8 0.16 55.8106721565127 28.7356978305615 "Mown"
"15" "3" 50 21 0.42 18.2339746132493 27.7722690394148 "Unmown"
"16" "4" 50 20 0.4 81.9859976321459 36.6843972727656 "Unmown"
"17" "4" 50 35 0.7 29.6870187483728 47.0167180197313 "Unmown"
"18" "4" 50 40 0.8 13.3647626824677 21.0551468911581 "Unmown"
"19" "4" 50 27 0.54 36.2336575426161 30.6373059307225 "Mown"
"20" "4" 50 14 0.28 86.3602919317782 23.2843343424611 "Mown"
"21" "5" 50 15 0.3 81.1631452850997 41.4986526733264 "Mown"
"22" "5" 50 6 0.12 65.424272492528 19.1914245393127 "Unmown"
"23" "5" 50 19 0.38 61.2405451014638 53.182205571793 "Mown"
"24" "5" 50 13 0.26 89.5415821298957 47.3284002067521 "Mown"
"25" "5" 50 7 0.14 62.4564639292657 43.4142324863933 "Unmown"
"26" "6" 50 37 0.74 66.682437453419 40.9008936630562 "Mown"
"27" "6" 50 39 0.78 53.5252819769084 28.6119030113332 "Mown"
"28" "6" 50 33 0.66 57.5313616357744 36.4917842927389 "Unmown"
"29" "6" 50 46 0.92 33.1327789835632 53.7341171433218 "Mown"
"30" "6" 50 45 0.9 21.7690917849541 39.0875049890019 "Unmown"
"31" "7" 50 18 0.36 87.0419386029243 51.988388239406 "Unmown"
"32" "7" 50 5 0.1 82.1839236095548 25.6224082456902 "Unmown"
"33" "7" 50 27 0.54 65.2564222738147 45.4145161109045 "Mown"
"34" "7" 50 10 0.2 73.6373934149742 23.2508903043345 "Mown"
"35" "7" 50 35 0.7 11.969094760716 39.7171597019769 "Mown"
