"site" "habitat" "elev" "elev_s" "effort" "log_effort"
"1" 1 "wetland" 433.358523266116 -0.283361466384126 19 -1.37909275445841
"2" 2 "wetland" 296.284923378582 -0.999220930351944 93 3.44489781164671
"3" 3 "wetland" 285.641754704884 -1.05480430328388 26 -0.42636720085178
"4" 4 "forest" 560.705728280852 0.381702426257825 33 0.297799228061014
"5" 5 "wetland" 589.641955725885 0.532820309534023 37 0.645317284255927
"6" 6 "forest" 510.600845346101 0.12003238425652 25 -0.54549895647791
"7" 7 "forest" 684.453493575948 1.02796843958239 36 0.562093710920367
"8" 8 "forest" 910.016937125429 2.20596132750939 34 0.388476720251543
"9" 9 "wetland" 401.793766788693 -0.448206700409805 28 -0.201266428357884
"10" 10 "grassland" 38.1662248718375 -2.34723187706024 31 0.107895493765058
"11" 11 "forest" 701.147704892451 1.11515305554201 30 0.00829737722122931
"12" 12 "forest" 358.159847483522 -0.676082484734747 63 2.26191010722852
"13" 13 "grassland" 362.398276706528 -0.653947517285605 23 -0.798768126291804
"14" 14 "forest" 705.11427393934 1.13586824792061 20 -1.22329089057197
"15" 15 "wetland" 443.045398589798 -0.23277228376673 30 0.00829737722122931
"16" 16 "grassland" 255.856457549093 -1.21035640721609 33 0.297799228061014
"17" 17 "wetland" 536.26069594983 0.254039566629721 35 0.476525505736178
"18" 18 "wetland" 472.221727512191 -0.0804004835070919 26 -0.42636720085178
"19" 19 "grassland" 501.152837179977 0.0706906724541458 21 -1.07509221065314
"20" 20 "grassland" 577.056080225266 0.467091255238877 47 1.37197038576694
"21" 21 "grassland" 425.867993641518 -0.322480352342467 27 -0.311732071374887
"22" 22 "grassland" 628.875309703767 0.737714379371756 22 -0.933789039732186
"23" 23 "wetland" 455.90268763625 -0.165625786903557 28 -0.201266428357884
"24" 24 "forest" 566.356392783139 0.411212716094735 28 -0.201266428357884
"25" 25 "wetland" 719.36780262987 1.21030653083157 44 1.17162501035627
"26" 26 "forest" 587.036298166761 0.519212403817028 31 0.107895493765058
"27" 27 "grassland" 434.813682893755 -0.27576197390794 39 0.805221066941419
