"PotID" "Light" "Seeds" "Germinated" "NotGerminated"
"1" 1 "Full" 20 9 11
"2" 2 "Full" 20 12 8
"3" 3 "Full" 20 9 11
"4" 4 "Full" 20 13 7
"5" 5 "Full" 20 13 7
"6" 6 "Full" 20 6 14
"7" 7 "Full" 20 10 10
"8" 8 "Full" 20 13 7
"9" 9 "Full" 20 10 10
"10" 10 "Full" 20 10 10
"11" 11 "Full" 20 14 6
"12" 12 "Full" 20 10 10
"13" 13 "Full" 20 11 9
"14" 14 "Full" 20 10 10
"15" 15 "Full" 20 7 13
"16" 16 "Full" 20 13 7
"17" 17 "Full" 20 8 12
"18" 18 "Full" 20 6 14
"19" 19 "Full" 20 9 11
"20" 20 "Full" 20 14 6
"21" 21 "Full" 20 13 7
"22" 22 "Full" 20 11 9
"23" 23 "Full" 20 11 9
"24" 24 "Full" 20 16 4
"25" 25 "Full" 20 11 9
"26" 26 "Full" 20 11 9
"27" 27 "Full" 20 10 10
"28" 28 "Full" 20 11 9
"29" 29 "Full" 20 9 11
"30" 30 "Full" 20 8 12
"31" 31 "Partial" 20 7 13
"32" 32 "Partial" 20 6 14
"33" 33 "Partial" 20 5 15
"34" 34 "Partial" 20 5 15
"35" 35 "Partial" 20 1 19
"36" 36 "Partial" 20 4 16
"37" 37 "Partial" 20 5 15
"38" 38 "Partial" 20 3 17
"39" 39 "Partial" 20 3 17
"40" 40 "Partial" 20 3 17
"41" 41 "Partial" 20 2 18
"42" 42 "Partial" 20 4 16
"43" 43 "Partial" 20 4 16
"44" 44 "Partial" 20 3 17
"45" 45 "Partial" 20 2 18
"46" 46 "Partial" 20 2 18
"47" 47 "Partial" 20 3 17
"48" 48 "Partial" 20 4 16
"49" 49 "Partial" 20 3 17
"50" 50 "Partial" 20 6 14
"51" 51 "Partial" 20 1 19
"52" 52 "Partial" 20 4 16
"53" 53 "Partial" 20 5 15
"54" 54 "Partial" 20 2 18
"55" 55 "Partial" 20 4 16
"56" 56 "Partial" 20 3 17
"57" 57 "Partial" 20 2 18
"58" 58 "Partial" 20 5 15
"59" 59 "Partial" 20 6 14
"60" 60 "Partial" 20 3 17
"61" 61 "Shade" 20 8 12
"62" 62 "Shade" 20 4 16
"63" 63 "Shade" 20 6 14
"64" 64 "Shade" 20 6 14
"65" 65 "Shade" 20 9 11
"66" 66 "Shade" 20 7 13
"67" 67 "Shade" 20 9 11
"68" 68 "Shade" 20 9 11
"69" 69 "Shade" 20 9 11
"70" 70 "Shade" 20 7 13
"71" 71 "Shade" 20 8 12
"72" 72 "Shade" 20 8 12
"73" 73 "Shade" 20 8 12
"74" 74 "Shade" 20 1 19
"75" 75 "Shade" 20 7 13
"76" 76 "Shade" 20 5 15
"77" 77 "Shade" 20 6 14
"78" 78 "Shade" 20 8 12
"79" 79 "Shade" 20 6 14
"80" 80 "Shade" 20 4 16
"81" 81 "Shade" 20 5 15
"82" 82 "Shade" 20 8 12
"83" 83 "Shade" 20 7 13
"84" 84 "Shade" 20 9 11
"85" 85 "Shade" 20 4 16
"86" 86 "Shade" 20 7 13
"87" 87 "Shade" 20 12 8
"88" 88 "Shade" 20 10 10
"89" 89 "Shade" 20 10 10
"90" 90 "Shade" 20 5 15
