"Lake" "Day" "Depth" "Effort" "Count" "FishlessLake"
"1" "1" 1 12.6348630562425 5.02 2 0
"2" "1" 2 12.6348630562425 4.82 16 0
"3" "1" 3 12.6348630562425 5.89 8 0
"4" "1" 4 12.6348630562425 2.92 2 0
"5" "1" 5 12.6348630562425 2.21 0 0
"6" "2" 1 19.1575880916789 2.75 4 0
"7" "2" 2 19.1575880916789 0.56 1 0
"8" "2" 3 19.1575880916789 1.51 7 0
"9" "2" 4 19.1575880916789 5.14 1 0
"10" "2" 5 19.1575880916789 1.77 3 0
"11" "2" 6 19.1575880916789 1.82 3 0
"12" "2" 7 19.1575880916789 0.92 0 0
"13" "2" 8 19.1575880916789 1.85 0 0
"14" "3" 1 11.8503414588049 4.53 0 0
"15" "3" 2 11.8503414588049 5.16 1 0
"16" "3" 3 11.8503414588049 3.24 5 0
"17" "3" 4 11.8503414588049 2.63 0 0
"18" "3" 5 11.8503414588049 1.86 1 0
"19" "4" 1 5.11179188173264 1.11 0 1
"20" "4" 2 5.11179188173264 2.64 0 1
"21" "4" 3 5.11179188173264 3.65 0 1
"22" "4" 4 5.11179188173264 1.69 0 1
"23" "5" 1 8.82134523615241 2.95 0 1
"24" "5" 2 8.82134523615241 1.7 0 1
"25" "5" 3 8.82134523615241 3.26 0 1
"26" "5" 4 8.82134523615241 2.45 0 1
"27" "6" 1 20.705556448549 4.07 0 0
"28" "6" 2 20.705556448549 2.56 2 0
"29" "6" 3 20.705556448549 2.45 0 0
"30" "6" 4 20.705556448549 3.44 0 0
"31" "6" 5 20.705556448549 4.57 4 0
"32" "6" 6 20.705556448549 1.72 0 0
"33" "6" 7 20.705556448549 2.77 2 0
"34" "6" 8 20.705556448549 1.96 0 0
"35" "7" 1 13.6941098310053 3.96 0 0
"36" "7" 2 13.6941098310053 1.51 1 0
"37" "7" 3 13.6941098310053 5.25 17 0
"38" "7" 4 13.6941098310053 4.61 1 0
"39" "7" 5 13.6941098310053 4.18 2 0
"40" "8" 1 24.069483352825 3.9 0 0
"41" "8" 2 24.069483352825 2.55 1 0
"42" "8" 3 24.069483352825 3.41 2 0
"43" "8" 4 24.069483352825 5.31 5 0
"44" "8" 5 24.069483352825 3.7 1 0
"45" "8" 6 24.069483352825 5.12 4 0
"46" "8" 7 24.069483352825 2.22 0 0
"47" "9" 1 4.88021003920585 4.4 0 1
"48" "9" 2 4.88021003920585 1.96 0 1
"49" "9" 3 4.88021003920585 3.77 0 1
"50" "9" 4 4.88021003920585 3.15 0 1
"51" "9" 5 4.88021003920585 1.96 0 1
"52" "9" 6 4.88021003920585 3.61 0 1
"53" "10" 1 14.176996761933 5.52 9 0
"54" "10" 2 14.176996761933 5.46 4 0
"55" "10" 3 14.176996761933 2.01 3 0
"56" "10" 4 14.176996761933 2.27 2 0
"57" "10" 5 14.176996761933 5.92 9 0
"58" "10" 6 14.176996761933 3.91 5 0
"59" "10" 7 14.176996761933 5.66 9 0
"60" "10" 8 14.176996761933 3.07 9 0
"61" "11" 1 29.5787954395637 2.74 0 0
"62" "11" 2 29.5787954395637 4.13 4 0
"63" "11" 3 29.5787954395637 1.34 0 0
"64" "11" 4 29.5787954395637 3.65 0 0
